Alec Brown,Green Bay,Horz,31,62.9,107.2,21.6,49.8,55.79,9.1,18.1,3.6,17.2,93,124,0.75,110,221,0.498,2,6,0.333,9.1,0.9,54.6,Fr,01-Jul,21,2.27572,111.002,4.4,2011,19005,all,,0.27086024,55,76,55,145,0.7237,0.3793,6,7,0.8571,50,102.079,99.8061,2.36704,151.8,1.65882,-0.891098,2.54992,2.04277,25.3548,1.11011,0.932666,2,3.5806,5.5806,0.4194,0.3548,1.9677,10.2903,C,0.464875
Alec Brown,Green Bay,Horz,28,78.8,101.5,24.4,45.2,50.54,11,18.5,6.6,15.5,91,120,0.758,136,296,0.459,4,18,0.222,9.4,1.6,38.2,So,01-Jul,21,2.76343,109.6,3.6,2012,19005,all,,0.43633864,72,114,64,182,0.6316,0.3516,11,11,1,50,96.1,96.059,3.31478,191.021,3.47431,-0.109606,3.58392,3.12284,31.6786,1.61935,1.50349,3,5.0714,8.0714,0.8571,0.8214,2.9286,13.3929,C,1.23978
Alec Brown,Green Bay,Horz,33,76.6,97.6,26.7,48.2,52.93,8.2,15.4,9.3,20.5,107,144,0.743,133,300,0.443,30,69,0.435,6.7,1.2,39,Jr,01-Jul,21,2.28121,105.355,3.9,2013,19005,all,,0.42221245,59,102,74,198,0.5784,0.3737,15,16,0.9375,50,97.9868,97.5466,3.01561,185.808,0.839524,-0.811065,1.65059,1.27237,30.8788,0.888245,0.384121,2.0303,3.9091,5.9394,1.1515,0.6061,1.7576,14.0303,PF/C,4.19408
Alec Brown,Green Bay,Horz,27,73.3,108.8,24.5,55,58.48,7.7,12.6,7.7,17.8,81,107,0.757,109,218,0.5,41,92,0.446,9.7,1.1,34.5,Sr,01-Jul,21,3.00515,116.185,3.1,2014,19005,all,,0.47541275,59,90,50,127,0.6556,0.3937,9,11,0.8182,50,97.5755,97.14,3.43129,153.508,4.03927,0.732852,3.30642,4.41711,30.6667,2.962,1.45511,1.9259,3.4815,5.4074,1.0741,0.5556,2.8148,15.6296,PF/C,6.55252
Alec Burks,Colorado,B12,28,73.1,117,26.8,56.7,62.49,8.5,11.9,13.5,14,143,182,0.786,144,250,0.576,19,54,0.352,1.5,2.2,59.9,Fr,06-Jun,10,5.20061,133.805,3.5,2010,14778,all,61.4,0.875,103,160,41,90,0.6438,0.4556,20,20,1,12,107.773,103.123,2.46647,144.886,5.76966,6.04383,-0.274169,6.14104,30.5357,6.88621,-0.745175,2,3,5,1.75,1.1786,0.4286,17.4286,Wing G,3.62556
Alec Burks,Colorado,B12,37,78.2,116.2,32.1,49.8,57.71,9.1,14.7,19.8,15,245,298,0.822,215,421,0.511,28,95,0.295,1,2,57.8,So,06-Jun,10,5.79718,138.341,3,2011,14778,all,61.4,1.13404034,122,186,93,235,0.6559,0.3957,26,28,0.9286,12,105.007,101.415,2.76887,212.053,5.84106,6.3762,-0.535146,7.23727,31.5946,7.64884,-0.411573,2.3514,4.1081,6.4595,2.973,1.0811,0.2973,20.5135,Wing G,4.71429
Alec Peters,Valparaiso,Horz,31,76,109.5,20.7,56.1,58.96,4.4,14.3,10.8,19,63,82,0.768,91,156,0.583,50,140,0.357,0.6,1.6,27.7,Fr,08-Jun,25,2.4713,111.106,3,2014,29744,all,50,0.69354999,67,103,24,53,0.6505,0.4528,4,5,0.8,54,104.228,104.228,2.68576,158.035,1.42549,1.59525,-0.169755,2.26892,30.7742,2.5483,-0.279379,1.0323,4,5.0323,1.3871,0.8065,0.1613,12.7419,Wing F,8.88976
Alec Peters,Valparaiso,Horz,31,79,124.7,23.6,58.7,62.21,7.6,18,9.1,12.2,87,103,0.845,101,204,0.495,77,165,0.467,1.1,1.4,27.9,So,09-Jun,25,4.7087,128.369,2.5,2015,29744,all,50,0.8571329,72,108,28,91,0.6667,0.3077,0,0,,54,94.8609,94.8679,3.5655,176.101,5.90853,5.33354,0.574991,8.5796,30.5588,7.616,0.963598,1.8824,4.7941,6.6765,1.2353,0.7059,0.3235,16.7647,Stretch 4,10.5543
Alec Peters,Valparaiso,Horz,35,82,127.1,22.9,60.2,64.72,8.7,19.5,8.3,13.6,138,162,0.852,123,223,0.552,89,203,0.438,1,1.3,38,Jr,09-Jun,25,5.01572,131.034,2.6,2016,29744,all,50,0.70966467,91,136,32,86,0.6691,0.3721,4,4,1,54,92.9131,91.558,4.25593,223.547,6.97346,5.40851,1.56495,9.43012,33.0286,7.81761,1.61252,2.5714,6.0571,8.6286,1.2571,0.7143,0.3143,18.6,Stretch 4,10.1884
Alec Peters,Valparaiso,Horz,28,76.3,117.8,29.5,52.7,59.63,8,23.2,15,13.5,167,188,0.888,149,290,0.514,55,149,0.369,1,1.2,42.8,Sr,09-Jun,25,5.31891,130.94,2.6,2017,29744,all,50,0.90140097,79,119,70,171,0.6639,0.4094,7,9,0.7778,54,96.3548,97.4582,3.8043,203.71,4.93177,4.49912,0.432646,7.68101,35.1379,7.27159,0.409418,2.5517,7.5517,10.1034,2.2069,0.7931,0.3793,22.9655,Stretch 4,8.71721
