player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,pos,player_tier
Jared Cunningham,Oregon St.,P12,35,85.9,106.8,25.3,50.2,56.28,3.5,9.6,15.7,18.3,193,263,0.734,144,287,0.502,49,146,0.336,1.3,4.1,60.7,Jr,04-Jun,1,3.8179,116.38,2.8,2012,13618,all,73,0.98037266,119,189,25,98,0.6296,0.2551,31,35,0.8857,24,99.5861,97.6663,3.41875,245.127,4.10233,3.48573,0.616603,4.4547,35.0857,3.26694,1.18776,1.0286,2.8286,3.8571,2.8571,2.5714,0.4286,17.9429,Combo G,7
Jarnell Stokes,Tennessee,SEC,36,81.2,117.2,25.7,53.7,58.01,15.1,23.2,13.4,16.1,156,226,0.69,196,365,0.537,0,0,0,2.8,1.4,61.9,Jr,08-Jun,5,4.95666,131.64,2.5,2014,23999,all,92,0.92206274,141,208,56,158,0.6779,0.3544,25,26,0.9615,35,95.0776,90.9367,4.3692,227.969,9.18819,5.26666,3.92153,8.73932,32.7222,6.64509,2.09423,4.1944,6.4722,10.6667,1.9722,0.6944,0.8889,15.2222,C,7
Jaron Blossomgame,Clemson,ACC,33,85.5,113,24.8,52.6,56.07,5.9,15.5,9.7,11.5,120,168,0.714,196,347,0.565,24,94,0.255,2.9,1.4,38.1,Sr,07-Jun,5,4.58366,125.553,1.9,2017,30917,all,76.8,0.92728148,134,185,62,162,0.7243,0.3827,41,44,0.9318,59,105.976,99.0371,3.54831,197.517,4.73046,3.69097,1.03949,5.53709,34.3333,4.97122,0.565869,1.7879,4.4848,6.2727,1.5455,0.8182,0.9091,17.697,Wing F,7
Jarrell Brantley,College of Charleston,CAA,32,84.4,111.6,29.9,54.8,58.67,6.6,23.8,15.4,15.4,122,156,0.782,194,337,0.576,35,113,0.31,3,2.4,34.7,Sr,07-Jun,5,3.9039,120.776,3.2,2019,40460,all,,0.94114454,130,187,61,146,0.6952,0.4178,23,25,0.92,50,98.3259,97.3641,3.76057,233.284,4.21385,2.13912,2.07473,5.07073,33.9394,3.93201,1.13872,1.7273,6.6667,8.3939,2.4242,1.3939,0.8788,19.3939,Stretch 4,7
Jarvis Varnado,Mississippi St.,SEC,36,77.9,111.4,22.1,58.2,59.65,10.7,23.1,6.2,16.6,128,210,0.61,184,316,0.582,0,0,0,14.3,1.2,66.5,Sr,09-Jun,32,3.61724,117.943,3.1,2010,3685,all,88.8,0.45071492,120,169,64,147,0.7101,0.4354,54,58,0.931,41,85.0949,82.1124,4.80229,302.413,9.4489,0.892689,8.55621,9.0267,31.5,3.45188,5.57482,2.9722,7.2778,10.25,0.8889,0.6667,4.7222,13.7778,C,7
Jason Preston,Ohio,MAC,19,68.4,112.7,24.9,56.9,57.41,3.8,21.3,37.6,19.6,28,47,0.596,87,154,0.565,30,78,0.385,0.9,2.1,20.3,Jr,04-Jun,0,4.18444,120.129,1.5,2021,65701,all,,2.41666667,59,86,28,68,0.686,0.4118,2,2,1,33,99.8009,97.7068,3.54554,139.049,7.17366,4.60565,2.56802,7.67788,34.55,5.53741,2.14048,1.05,6.2,7.25,7.25,1.45,0.25,15.7,Scoring PG,7
Jawun Evans,Oklahoma St.,B12,31,70.8,116.1,33.3,47.5,53.31,2.8,10.8,44.2,15.9,145,180,0.806,169,373,0.453,35,93,0.376,0.5,3.2,38.6,So,01-Jun,1,5.88535,144.967,3.1,2017,38748,all,94.8,2.26666667,93,191,76,182,0.4869,0.4176,0,0,,39,107.648,100.327,2.90112,169.652,8.63905,8.38542,0.253626,8.56299,29.1875,8.06424,0.498745,0.75,2.6875,3.4375,6.375,1.7812,0.125,19.1562,Pure PG,7
Jaylen Hands,UCLA,P12,33,77.1,105.5,25.5,49.9,53.71,1.3,10.5,36.5,21.5,85,109,0.78,92,206,0.447,66,177,0.373,0.5,2.3,28.5,So,03-Jun,4,3.03918,115.866,1.6,2019,51920,all,95.8,1.91429385,61,118,31,88,0.5169,0.3523,13,15,0.8667,56,105.726,101.573,2.98327,192.565,3.23688,3.74557,-0.50869,4.03123,31.1818,3.85145,0.179781,0.3636,3.303,3.6667,6.0909,1.3333,0.1515,14.1515,Pure PG,7
Jermaine Taylor,UCF,CUSA,30,79.8,112.9,36.1,55.1,58.6,7.2,12.1,17.3,14.7,133,165,0.806,189,348,0.543,90,240,0.375,2.7,2.3,28.1,Sr,04-Jun,,5.8401,137.026,2.2,2009,495,all,48.2,0.62789967,,,,,,,,,,32,103.129,100.725,2.82731,173.33,6.81308,7.32708,-0.513998,11.2592,32.0333,11.4798,-0.220528,1.9,3.3,5.2,1.8,1.2333,0.7333,26.0333,,7
Jerome Jordan,Tulsa,CUSA,34,74.9,111.1,25.9,55.3,59.66,9.3,23.8,10.1,17.1,165,240,0.688,183,331,0.553,0,0,0,7.7,0.9,72.5,Sr,Jul-00,23,3.86648,121.72,3.8,2010,11309,all,38,0.5714223,117,154,66,177,0.7597,0.3729,59,62,0.9516,44,91.9166,89.0593,3.89043,233.614,5.4439,1.44189,4.00202,7.1779,29.9412,4.16539,3.01251,2.3235,6.6765,9,1.2941,0.4412,2.4118,15.6176,C,7
